REPORT_DATE,SECUCODE,INDUSTRY_NAME,SECURITY_NAME_ABBR,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,ACCOUNTS_RECE,INVENTORY,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ADVANCE_RECEIVABLES,TOTAL_EQUITY,DEBT_ASSET_RATIO,PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,OPERATE_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,TOTAL_OPERATE_COST,OPERATE_PROFIT,TOTAL_PROFIT,CCE_ADD,NETCASH_OPERATE,SALES_SERVICES,PAY_STAFF_CASH,NETCASH_INVEST,RECEIVE_INVEST_INCOME,CONSTRUCT_LONG_ASSET,NETCASH_FINANCE
16029,000001.SZ,银行,平安银行,49213.80,0.00,0.00,0.00,0.00,45259.30,0.00,0.00,3954.48,91.96,3633600.00,3623000.00,16900000.00,12300000.00,0.00,4793700.00,0.00,12300000.00,4598500.00,4587900.00,-5372800.00,-19273300.00,0.00,2056000.00,-4045500.00,3601700.00,661400.00,18106400.00
16017,000002.SZ,房地产开发,万科A,19386.40,1282105.98,14935200.00,474359.70,107562000.00,15458.70,33041100.00,136428.63,3927.73,79.74,2252403.34,2238178.19,45300000.00,35400000.00,1280863.91,1024228.19,438382.39,40300000.00,5253099.72,5222263.12,-4495392.04,411316.09,46405100.00,1859430.61,-2628078.62,595665.00,957790.83,-2310376.75
16057,000004.SZ,软件开发,ST国华,11.11,244.70,16944.81,37060.24,2060.42,1.62,5499.80,0.00,9.48,14.62,-50910.73,-52120.33,28894.42,12693.63,3428.21,2028.46,-203.13,21504.33,-49999.09,-50219.47,-1571.77,310.15,32362.67,7365.94,-1080.70,63.37,135.63,-801.22
16048,000005.SZ,环保行业,ST星源,24.74,2599.30,12858.17,16236.17,1469.46,9.99,25511.61,0.00,14.75,40.38,13903.67,-2784.48,38353.62,30148.56,892.71,6633.29,-36.66,40366.49,-435.88,18255.00,-630.19,27909.40,45027.35,8126.68,-16615.00,0.00,4386.53,-11922.26
16017,000006.SZ,房地产开发,深振业A,236.01,4247.90,294867.52,1890.56,1611733.46,154.17,153912.79,225.71,81.84,65.32,54169.02,53240.58,308857.05,174722.08,6726.73,14295.07,19425.39,251733.01,75236.14,75300.41,74136.50,-387466.66,412303.19,17333.50,166885.31,0.00,490.37,294717.84
16086,000007.SZ,房地产服务,*ST全新,4.32,4692.27,5901.82,1339.06,2667.45,3.18,1927.34,29.36,1.14,73.60,3997.06,1211.70,20254.58,16145.31,496.75,2028.64,-0.04,18789.63,5316.10,4190.21,788.53,-4870.61,21787.41,1807.29,-128.42,0.00,1287.31,5795.90
16008,000008.SZ,交运设备,神州高铁,123.79,41266.02,111818.05,278874.51,111644.93,70.43,131968.80,62.70,53.36,56.90,-139436.75,-140807.01,221480.45,147348.40,25646.61,31647.74,19231.12,246325.59,-134975.99,-135439.51,26677.87,45877.18,260908.75,55156.76,-16550.70,978.47,38915.73,-2620.00
16042,000009.SZ,综合行业,中国宝安,370.73,492847.41,658211.96,336701.41,1014082.75,214.14,335086.73,164.75,156.59,57.76,103559.91,38744.14,1760629.43,1250854.05,115378.51,110026.80,42156.93,1616605.98,215107.30,215845.59,-28163.37,-27927.27,1300110.22,190316.85,-7170.98,1765.06,201114.48,9474.40
16005,000010.SZ,工程建设,美丽生态,45.87,1841.65,2932.82,271531.47,17536.32,37.29,192417.30,0.00,8.58,81.29,2345.87,2100.04,175690.68,144311.23,0.00,7546.91,7201.26,159244.78,6582.63,6190.40,-4498.07,-5529.58,71120.30,4204.95,2979.11,0.00,30.60,-1947.60
16017,000011.SZ,房地产开发,深物业A,148.29,11415.56,233704.58,28918.49,912513.41,101.96,34939.28,374.46,46.33,68.75,100396.98,98377.81,449196.56,149088.74,7335.08,26370.02,566.06,318636.33,131118.06,131404.41,-236940.79,-181331.30,542749.56,74177.96,-6956.93,0.00,2258.14,-48503.86
16044,000012.SZ,玻璃玻纤,南玻A,199.39,856651.50,276592.59,73052.57,109380.55,80.73,142885.13,0.00,118.66,40.49,152932.93,143954.03,1362903.37,884948.81,27069.54,75260.55,15118.22,1068436.55,193092.84,191740.22,63244.94,390208.44,1512777.31,163865.76,-290507.61,1616.31,182718.76,-36275.22
